date,T2M,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN
1996-11-01,2.57,0.0,68.83,1.88,9.82
1996-11-02,4.73,0.0,67.39,1.42,9.53
1996-11-03,4.84,0.01,72.07,2.12,7.05
1996-11-04,3.85,0.38,78.76,3.07,8.13
1996-11-05,1.46,0.02,80.03,1.75,8.54
1996-11-06,4.74,0.52,81.55,4.53,8.3
1996-11-07,3.11,0.33,74.76,1.6,5.3
1996-11-08,7.23,0.03,84.16,2.45,6.44
1996-11-09,6.87,0.01,77.75,1.14,7.21
1996-11-10,4.96,0.01,83.63,1.46,7.06
1996-11-11,7.12,0.08,78.81,1.9,6.97
1996-11-12,6.56,0.69,81.39,1.18,5.68
1996-11-13,7.08,5.7,82.16,2.42,6.12
1996-11-14,4.45,0.27,86.28,1.05,7.76
1996-11-15,3.08,0.2,77.67,1.7,4.45
1996-11-16,2.92,2.0,84.49,4.1,3.74
1996-11-17,4.37,7.5,86.89,3.77,5.33
1996-11-18,2.5,5.16,93.95,1.48,5.42
1996-11-19,-2.82,13.4,90.0,3.28,2.57
1996-11-20,-3.66,0.82,89.62,1.8,4.29
1996-11-21,-3.15,2.51,87.46,3.09,6.19
1996-11-22,-2.96,1.34,86.63,1.3,7.44
1996-11-23,-5.36,2.0,86.55,3.06,4.11
1996-11-24,-2.74,7.28,94.13,1.58,5.49
1996-11-25,-2.23,0.28,97.17,0.84,6.57
1996-11-26,-0.61,1.52,93.49,0.83,3.24
1996-11-27,0.89,10.5,97.27,2.48,2.57
1996-11-28,1.66,1.22,94.88,3.69,4.06
1996-11-29,-1.08,0.05,90.61,0.97,4.96
1996-11-30,2.07,3.38,98.47,2.55,1.54
1996-12-01,1.88,1.99,86.29,4.86,2.68
1996-12-02,-0.6,2.64,94.76,3.42,3.03
1996-12-03,-3.01,5.2,85.79,1.46,6.27
1996-12-04,-1.95,5.63,92.17,3.41,2.12
1996-12-05,0.91,0.3,97.51,3.36,4.19
1996-12-06,0.08,3.54,96.27,2.86,3.44
1996-12-07,0.49,4.07,93.78,3.47,2.53
1996-12-08,2.42,8.38,99.65,1.16,2.44
1996-12-09,1.44,3.88,96.34,2.47,3.28
1996-12-10,4.23,3.72,88.6,4.63,2.72
1996-12-11,1.93,4.57,84.84,3.71,4.25
1996-12-12,0.63,0.23,91.92,2.23,3.35
1996-12-13,1.42,3.4,88.46,3.9,1.49
1996-12-14,-0.67,0.01,85.92,1.68,4.8
1996-12-15,-0.65,0.1,84.37,1.78,3.39
1996-12-16,-3.28,0.0,76.67,3.62,4.04
1996-12-17,-6.59,0.0,73.87,3.99,3.69
1996-12-18,-5.64,0.07,83.17,1.57,2.47
1996-12-19,-4.52,1.8,85.18,1.08,2.2
1996-12-20,-1.06,2.83,96.24,0.83,2.29
1996-12-21,-0.44,1.91,96.48,1.41,3.55
1996-12-22,-3.78,0.02,88.2,2.96,4.88
1996-12-23,-6.01,4.85,84.47,1.2,3.48
1996-12-24,-5.72,7.06,88.11,3.31,2.1
1996-12-25,-10.39,7.26,89.38,4.32,5.27
1996-12-26,-14.89,6.0,96.29,2.71,2.33
1996-12-27,-5.68,2.46,96.04,2.77,3.92
1996-12-28,-8.92,1.71,97.88,2.4,2.17
1996-12-29,-4.25,12.5,97.14,3.44,2.14
1996-12-30,1.69,10.5,96.95,2.74,2.25
1996-12-31,4.06,7.51,96.87,4.65,3.04
1997-01-01,6.24,2.9,94.72,5.27,3.78
1997-01-02,4.89,1.69,95.5,3.51,2.42
1997-01-03,1.48,0.43,88.65,3.82,4.11
1997-01-04,-0.63,0.18,88.9,1.58,3.01
1997-01-05,-0.96,0.18,82.56,1.6,6.0
1997-01-06,-0.38,0.78,90.78,4.17,2.43
1997-01-07,1.81,0.17,96.54,3.82,3.84
1997-01-08,1.28,0.11,93.89,1.46,3.84
1997-01-09,1.84,0.11,94.83,0.9,3.17
1997-01-10,1.15,0.23,91.76,1.06,2.96
1997-01-11,-3.84,0.01,58.18,6.71,6.1
1997-01-12,-9.37,0.01,58.0,5.8,5.73
1997-01-13,-9.04,0.0,65.14,3.75,5.38
1997-01-14,-7.97,0.03,71.02,2.02,5.41
1997-01-15,-7.14,0.08,82.06,3.72,6.06
1997-01-16,-5.78,2.95,78.76,3.28,5.42
1997-01-17,0.13,6.57,97.22,1.73,1.85
1997-01-18,1.28,1.91,97.88,1.31,2.99
1997-01-19,1.29,0.73,95.76,1.22,3.12
1997-01-20,0.85,2.36,97.1,2.07,3.62
1997-01-21,1.03,1.49,88.36,1.75,5.77
1997-01-22,-1.09,5.94,95.61,1.97,4.82
1997-01-23,-0.76,0.11,88.73,4.75,5.3
1997-01-24,-2.46,0.02,83.46,3.36,6.24
1997-01-25,-10.49,0.07,74.32,5.3,3.75
1997-01-26,-12.92,0.0,74.02,3.53,4.28
1997-01-27,-7.55,4.13,85.8,3.43,4.63
1997-01-28,-3.68,0.86,96.63,0.83,8.01
1997-01-29,-0.48,1.61,97.76,1.13,2.95
1997-01-30,1.89,7.71,98.48,2.84,5.28
1997-01-31,1.76,7.95,98.72,1.22,7.85
1997-02-01,1.24,1.76,95.8,1.62,7.81
1997-02-02,0.42,0.19,85.85,1.3,8.27
1997-02-03,0.16,0.21,84.82,3.43,9.48
1997-02-04,-2.94,0.0,78.9,4.21,9.85
1997-02-05,-3.19,0.0,79.59,2.38,7.45
1997-02-06,-4.7,0.01,84.71,3.39,8.4
1997-02-07,-5.21,0.0,83.13,3.17,8.75
1997-02-08,-3.71,0.0,81.78,2.07,9.17
1997-02-09,-1.96,0.0,84.23,3.09,8.72
1997-02-10,0.09,1.45,85.02,1.05,8.06
1997-02-11,-0.52,5.79,93.18,2.57,6.06
1997-02-12,1.19,0.93,89.12,4.53,8.47
1997-02-13,2.0,0.91,89.35,3.5,10.53
