stationTriplet,stationId,stateCode,networkCode,name,dcoCode,countyName,huc,elevation,latitude,longitude,dataTimeZone,pedonCode,shefId,operator,beginDate,endDate,associatedHucs
2057:AL:SCAN,2057,AL,SCAN,AAMU-JTG,GC,Madison,060300020502,800.0,34.78534,-86.55906,-6.0,27979,AAMA1,NRCS,2002-02-23 00:00,2100-01-01 00:00,"['060300020305', '060300020306', '060300020403', '060300020404']"
2092:KS:SCAN,2092,KS,SCAN,Abrams,GC,Cowley,110300130307,1190.0,37.1313,-97.0859,-6.0,31337,ABRK1,NRCS,2004-06-21 00:00,2100-01-01 00:00,"['110300130206', '110300130306', '110300130308', '110300180408', '110300180409']"
2015:NM:SCAN,2015,NM,SCAN,Adams Ranch #1,GC,Lincoln,130600060201,6170.0,34.25294,-105.41973,-7.0,19304,ADRN5,NRCS,1993-10-25 00:00,2100-01-01 00:00,"['130600060202', '130600060203', '130600060205']"
2235:CA:SCAN,2235,CA,SCAN,Adobe,GC,Mono,180901010607,6500.0,37.97787,-118.68626,-8.0,,ADZC1,NRCS,2023-09-27 00:00,2100-01-01 00:00,"['160600100701', '180901010602', '180901010605', '180901010609']"
2237:CA:SCAN,2237,CA,SCAN,Alabama Hills,GC,Inyo,180901030207,5240.0,36.56295,-118.13562,-8.0,,ABHC1,NRCS,2023-09-28 00:00,2100-01-01 00:00,"['180901030206', '180901030208', '180901030406', '180901030407']"
2172:NM:SCAN,2172,NM,SCAN,Alcalde,GC,Rio Arriba,130201011107,5680.0,36.0908,-106.05668,-7.0,53313,ALDN5,NRCS,2010-03-10 00:00,2100-01-01 00:00,"['130201011105', '130201021506', '130201021604']"
2138:UT:SCAN,2138,UT,SCAN,Alkali Mesa,GC,San Juan,140802030601,6450.0,37.67455,-109.36429,-7.0,34635,ALKU1,NRCS,2007-09-17 00:00,2100-01-01 00:00,"['140802010303', '140802030108', '140802030501', '140802030602']"
2076:TN:SCAN,2076,TN,SCAN,Allen Farms,GC,Giles,060300030905,700.0,35.07461,-86.89418,-6.0,30331,ALFT1,NRCS,2003-06-03 00:00,2100-01-01 00:00,"['060300040206', '060300040208', '060300040402']"
2031:IA:SCAN,2031,IA,SCAN,Ames,GC,Boone,070801050307,1060.0,42.0136,-93.72977,-6.0,28516,AMMI4,NRCS,2001-09-19 00:00,2100-01-01 00:00,"['070801050305', '070801050306', '070801050901', '071000040801']"
2214:CA:SCAN,2214,CA,SCAN,Ash Valley,GC,Lassen,180200021404,5100.0,41.05204,-120.6872,-8.0,,VYAC1,NRCS,2014-10-23 00:00,2100-01-01 00:00,"['180200021401', '180200021402']"
2032:MS:SCAN,2032,MS,SCAN,Beasley Lake,GC,Sunflower,080302071002,110.0,33.38333,-90.65,-6.0,24681,BSYM6,NRCS,1999-09-17 00:00,2100-01-01 00:00,"['080302070902', '080302071001', '080302071503']"
2207:TX:SCAN,2207,TX,SCAN,Beaumont,GC,Jefferson,120402010100,30.0,30.06845,-94.29283,-6.0,,BETT2,NRCS,2013-09-18 00:00,2100-01-01 00:00,"['120200070201', '120402010200']"
